text,aggressive,hate,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other
petrobras governo bolsonaro estadão defesa de bolsonaro paulo guedes perseguição estatal? goiás barroso datena cristãos jornal nacional link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user manda avisar. os maiorais,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user @user @user nós, o povo brasileiro, já decidimos: queremos jair bolsonaro, seus filhos, anderson torres, mauro cid e todos os comparsas presos.",1,1,0,0,0,0,0,1,0,0,0,0,0
@user eu jurando que um dos eventos era sábado e eu poderia me desdobrar.... coitada,0,0,0,0,0,0,0,0,0,0,0,0,0
perdendo horas da minha vida no trânsito de sp,0,0,0,0,0,0,0,0,0,0,0,0,0
@user operaçãochequemate,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user a narrativa que possibilitou a vitória de lula, e que você repete, é a tese de que bolsonaro é igual ou pior do que lula. essa tese é verdadeira? não. bolsonaro cometeu erros graves, mas enfrentou a pior situação em décadas. em tempos favoráveis, lula deixou um legado destrutivo.",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user concordo. teve cautela demais em entregar os podres dos criminosos. eu admiro bolsonaro e gostei muito da sua gestão, mas, no meu ponto de vista, no que diz respeito aos ataques recebidos, bolsonaro era pacífico demais e sem cartas na manga.",0,0,0,0,0,0,0,0,0,0,0,0,0
quem foi o marginal q esgotou camarote central,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user tendii, todas as mães desconfiam um pouco amg kkkkkkkkkkkk mas quando vc estiver pronta pra se assumir vc conversa com ela. mas tipo, vc tem quantos anos? se for menor de idade espera um cadinho pq se não ela pode te expulsar kkkkkkkkkk",0,0,0,0,0,0,0,0,0,0,0,0,0
@user e vc continuará babando os ovos dos bolsonaro.,1,1,0,0,0,0,0,1,0,0,0,0,0
"@user sim… o cara já chegou viajando, dando carteirada d dinheiro e empresa e é bom ter provas mt irrefutáveis pq já tá com a credibilidade baixa pela associação q ele tá fazendo",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user ""não mas veja bem, todo governo rouba e o país já tem muito dinheiro lula é um nordestino deficiente, claramente ele não sabia o que estava fazendo e o bolsonaro? em ?"" ele faz cada malabarismo pra defender o mula",1,1,0,0,0,1,0,1,0,0,0,1,0
eu votei o bolsonaro e o lula que tá cumprindo a promessa dele? ?? link,0,0,0,0,0,0,0,0,0,0,0,0,0
kkkkkkkkkkkkkk aham sim bjs link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user é lindo!,0,0,0,0,0,0,0,0,0,0,0,0,0
alguém me dá um par de airpods pfvr,0,0,0,0,0,0,0,0,0,0,0,0,0
como é perspicaz a menina rebecca te amo bequinha do arrocha sera sempre number 1 link,0,0,0,0,0,0,0,0,0,0,0,0,0
"diferentes sonhos, mesmos sinais",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user bolsonaro quer dar o golpe, quem deu o golpe. bolsonaro quer intervir na petrobrás, quem interviu na petrobrás. bolsonaro quer intervir na polícia federal, quem interviu na polícia federal. bolsonaro quer fazer censura, quem faz hoje a censura no brasil?",0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user acho que até pelo simbolismo do que foi superar o horror da lava jato e a luta contra o lawfare tem que ser o zanin mesmo,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user @user kkkkkkkkkkkkkkkkkkkkkk q ódio,0,0,0,0,0,0,0,0,0,0,0,0,0
"tenho dois dias pra terminar de resolver mil coisas e conciliando tudo com uma crise de enxaqueca que não passa por nada, fé que vai dar certo",0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user anjr ??,0,0,0,0,0,0,0,0,0,0,0,0,0
"mexendo no tel do meu pai acabei de perceber que ele tem tanta foro zoada minha,no meu aniversário eu vou sofrer kkkkk??",0,0,0,0,0,0,0,0,0,0,0,0,0
"por mais que tenha tudo, faz bem tu ter um homem que não te deixe triste, não te usa e some",0,0,0,0,0,0,0,0,0,0,0,0,0
"não posso ver uma comprometida que eu já fico interessada, que ódio adoro um b.o",0,0,0,0,0,0,0,0,0,0,0,0,0
"vomo pode tanta gente já ter conseguido a porra do ingresso pelo site , eu quero que vcs vão pra puta que pariu",1,0,0,0,0,0,0,0,0,0,0,0,0
nn me toquem link,0,0,0,0,0,0,0,0,0,0,0,0,0
amar é bom esquecer também,0,0,0,0,0,0,0,0,0,0,0,0,0
"#ondecomprar smartphone motorola moto g32 128gb rosé 4g octa-core 4gb ram 6,5” câm. tripla + selfie 16mp r$ 1.169,99 à vista ou r$ 1.299,99 em 8x de r$ 162,50 sem juros link",0,0,0,0,0,0,0,0,0,0,0,0,0
agora zeenunew se casam ?? link,0,0,0,0,0,0,0,0,0,0,0,0,0
é umas coisas assim que me deixa embucetada,1,1,0,0,0,0,0,0,0,0,1,0,0
"@user ""faça o l imediatamente""",1,1,0,0,0,0,0,1,0,0,0,0,0
"eu sei que parece chato, eu realmente detesto ficar marcando as pessoas nas minhas publicações, mas eu espero que vocês compreendam que isso é reflexo da falta de apoio mesmo. eu queria muito conseguir bancar ou ter apoio garantido pra poder realizar e apoiar ações.",0,0,0,0,0,0,0,0,0,0,0,0,0
tem dias que eu sinto ódio e tem dias que eu sinto saudade,0,0,0,0,0,0,0,0,0,0,0,0,0
carai freen e becky levando todos os prêmios,0,0,0,0,0,0,0,0,0,0,0,0,0
"o ex-presidente jair bolsonaro (pl) reuniu na segunda-feira (15) com seus advogados paulo amador da cunha bueno e fabio wajngarten para definir a estratégia da defesa antes do depoimento à polícia federal hoje, terça (16).",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user desculpa se te magoei, não precisava mandar indireta postando nome da musica, podia me falar..",0,0,0,0,0,0,0,0,0,0,0,0,0
que desperdício passar tanto tempo com alguém pra no final perceber que ela é uma estranha,0,0,0,0,0,0,0,0,0,0,0,0,0
@user difícil dms amg kkkkkkk,0,0,0,0,0,0,0,0,0,0,0,0,0
@user bom dia,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user tu manda mais q isso,0,0,0,0,0,0,0,0,0,0,0,0,0
@user 0x34106fc1b114225d9d461742e7e917ec7ceb7284,0,0,0,0,0,0,0,0,0,0,0,0,0
@user oi vida me da um ??,0,0,0,0,0,0,0,0,0,0,0,0,0
"coloquei como meta pra antes de ir enfrentar o ganandorf no breath, fazer o upgrade das armaduras até o final, falta a armadura de imunidade elétrica, a de guardião e a do bárbaro, achei a armadura que brilha no escuro aos 45 do segundo tempo. link",0,0,0,0,0,0,0,0,0,0,0,0,0
@user parabéns adiantado rs,0,0,0,0,0,0,0,0,0,0,0,0,0
ascendente em quarterão,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user vlw corno, tmj",1,0,0,0,0,0,0,0,0,0,0,0,0
?????? hoje para matar a saudade ??,0,0,0,0,0,0,0,0,0,0,0,0,0
nem tudo tem que ser difícil na vida credo odeio gente complicada,1,0,0,0,0,0,0,0,0,0,0,0,0
@user amiga eu sou muito lerdo,0,0,0,0,0,0,0,0,0,0,0,0,0
brinquedo vai ser pai e eu não vou ser a mãe ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user 1 vez ao mês,0,0,0,0,0,0,0,0,0,0,0,0,0
@user q isso irmão pelo oq eu sei uber é aplicativo de locomoção e não de pegar mulher,0,0,0,0,0,0,0,0,0,0,0,0,0
meu deus. ela eh figura pública. imagina ter que comprar uma pomada pra assadura ou remédio para diarréia e todo mundo ficar sabendo? isso tudo é apenas para se proteger . link,0,0,0,0,0,0,0,0,0,0,0,0,0
"oportunista, caça like, vitimista e não vou nem te falar o que te disseram pelas costas e nada disso conseguiu diminuir você. esse prêmio é seu, freen sarocha, você merece!!! link",1,0,0,0,0,0,0,0,0,0,0,0,0
@user pulguento fedido??????,0,0,0,0,0,0,0,0,0,0,0,0,0
o ladrão ainda colhendo frutos da exelente administração paulo guedes/jair bolsonaro! link,0,0,0,0,0,0,0,0,0,0,0,0,0
serei a próxima,0,0,0,0,0,0,0,0,0,0,0,0,0
"todos mim odeiam,mim machucam e maltratam meu pobre coraçãozinho????",0,0,0,0,0,0,0,0,0,0,0,0,0
@user mt eu amg,0,0,0,0,0,0,0,0,0,0,0,0,0
iam me internar link,0,0,0,0,0,0,0,0,0,0,0,0,0
"que dia cansativo, e não passou nem da metade link",0,0,0,0,0,0,0,0,0,0,0,0,0
agora só falta 1,0,0,0,0,0,0,0,0,0,0,0,0,0
"dormir no ônibus é uma merda, mas é necessário",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user acabei de ver isso também, de acordo com ela os vídeos foram tirados de contexto, sempre a mesma desculpa impressionante",1,0,0,0,0,0,0,0,0,0,0,0,0
@user o novo tem uma pegada retrô,0,0,0,0,0,0,0,0,0,0,0,0,0
chega dia 20 logo,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user sem fofocas, só uma constatação mesmo kkkkkkkkkk",0,0,0,0,0,0,0,0,0,0,0,0,0
"já tenho dificuldade de falar com as pessoas ainda mais achando q me odeia, ai complica ne",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user eu tô, mas logo volto pro ruivo",0,0,0,0,0,0,0,0,0,0,0,0,0
mds q odio q eu tenho dessa sala,0,0,0,0,0,0,0,0,0,0,0,0,0
@user meu deus tadinha,0,0,0,0,0,0,0,0,0,0,0,0,0
@user qualquer um dos dois,0,0,0,0,0,0,0,0,0,0,0,0,0
"tópico sensível, acabei de me atentar que o prazo pra pagar as pobs é até dia 20, ou seja adeus teolaegi",0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user dodois da cabeça sim!,1,1,0,0,0,1,0,0,0,0,0,0,0
"@user tomou chá de sumiço, não fala não se não atrai",0,0,0,0,0,0,0,0,0,0,0,0,0
"fico olhando o tanto que luis otávio tá independente e da vontade de chorar, era um neneco esses dias",0,0,0,0,0,0,0,0,0,0,0,0,0
@user botarde,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user boiola,1,1,0,0,0,0,1,0,0,0,0,0,0
perdi meu fone bluetooth no trabalho. vai se fudeeeeeeeeeeeeeeeee,1,0,0,0,0,0,0,0,0,0,0,0,0
"tenho opinião, mas nao tenho advogado",0,0,0,0,0,0,0,0,0,0,0,0,0
me chamou pra ver velozes e furiosos e eu acreditei ??,0,0,0,0,0,0,0,0,0,0,0,0,0
torcida francês são bando de imbecis link,1,1,0,0,0,0,0,0,0,0,0,1,0
nooo odeio frio pqp,0,0,0,0,0,0,0,0,0,0,0,0,0
"noix, avisaram pra uhuu que são eles que vão vender os ingresso do nct dream?",0,0,0,0,0,0,0,0,0,0,0,0,0
quase um 70 centavos de redução e menos de 15 dias. apertei com gosto o 1 e o 3 link,0,0,0,0,0,0,0,0,0,0,0,0,0
porraaaaaaaaaaaaaaa é das brasilessssss link,0,0,0,0,0,0,0,0,0,0,0,0,0
como explicar a maçã uma fruta que quase foi extinta e hoje está em todas as caixas de suco,0,0,0,0,0,0,0,0,0,0,0,0,0
@user comprei 100 e fui taxada em 60 ??,0,0,0,0,0,0,0,0,0,0,0,0,0
esse line me deu mais 10 anos de vida link,0,0,0,0,0,0,0,0,0,0,0,0,0
gasolina mais barata gás a menos de r$ 100 faça o l imediatamente com força pra caralho link,1,1,0,0,0,0,0,1,0,0,0,0,0
"@user jwjwnenennwnwnqnanq nem quero imaginar viu, seu relato já me deixou com um pé atrás",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user as abrava tão com odio, deixa a serie melhor",0,0,0,0,0,0,0,0,0,0,0,0,0
@user ainda não,0,0,0,0,0,0,0,0,0,0,0,0,0
luana é muito fdp kkkkkkkk,1,0,0,0,0,0,0,0,0,0,0,0,0
"@user ""azar de quem perdeu""??",0,0,0,0,0,0,0,0,0,0,0,0,0
@user eu quem não?,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user sugestão de notícia sensacionalista: bolsonaro desviava carnes, bistecas e frangos para incentivar o programa semanas sem carnes",0,0,0,0,0,0,0,0,0,0,0,0,0
ódio.,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user só quando o pbe atualizar,0,0,0,0,0,0,0,0,0,0,0,0,0
@user só pra vc,0,0,0,0,0,0,0,0,0,0,0,0,0
@user igual vc amorrr,0,0,0,0,0,0,0,0,0,0,0,0,0
vc nunca me amou vc só me usou e me abusou,0,0,0,0,0,0,0,0,0,0,0,0,0
vou dar veneno de rato pra essa meninaa,1,0,0,0,0,0,0,0,0,0,0,0,0
@user o sul pertence a são paulo,0,0,0,0,0,0,0,0,0,0,0,0,0
mais um kk link,0,0,0,0,0,0,0,0,0,0,0,0,0
"primeiro o brasil precisará estar vermelho, para depois ser ""reconstruído"". #cpmi08dejaneirojá link",1,1,0,0,0,0,0,1,0,0,0,0,0
"@user @user bem inocente achar q quem não fez antes, agora vai fazer. mas vamos ver né",0,0,0,0,0,0,0,0,0,0,0,0,0
os cornos são os últimos a saber mesmo descobri hoje que fui corna kkkkkkk,1,0,0,0,0,0,0,0,0,0,0,0,0
@user @user ai que saudades de vcs ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user e vc ir pro sanatorio,1,1,0,0,0,1,0,0,0,0,0,0,0
cometo loucura link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user 30 de abril de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0
ultimamente tenho me questionado sobre várias coisas que não sei se foram sonho ou se aconteceu. sou a própria dory link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user bolsonaro foi excelente cabo eleitoral pro pt.,0,0,0,0,0,0,0,0,0,0,0,0,0
#história da #colonização #holandesa no #paraná. vídeo. link,0,0,0,0,0,0,0,0,0,0,0,0,0
odeio quem qr se mostrar mais inteligente q os outros,0,0,0,0,0,0,0,0,0,0,0,0,0
meu deus como eu odeio esse cara,1,0,0,0,0,0,0,0,0,0,0,0,0
definitivamente eu não tô bem,0,0,0,0,0,0,0,0,0,0,0,0,0
@user conta,0,0,0,0,0,0,0,0,0,0,0,0,0
"tem uma banda que eu gosto e o deezer vacilão só tem os lançamentos deles de 2018 pra cá (ao contrário do spotify que tem tudo desde 2004), graças a esse streaming merdinha eu terei que fazer como as civilizações antigas e baixar música no google olha que absurdo",0,0,0,0,0,0,0,0,0,0,0,0,0
me chamaram pra ir no shopping dia 24 um dia antes da estreia de a pequena sereia vou cometer um crime de ódio link,0,0,0,0,0,0,0,0,0,0,0,0,0
"eu sei que tatuagem é mo empolgante e tal qndo vc quer mto fazer, ansiedade etc, mas o ngc é pro resto da vida filha calma aí sossega esse cu",1,0,0,0,0,0,0,0,0,0,0,0,0
@user @user ainda tenho fé no meu time desgraçado! mais tarde eu volto.,1,0,0,0,0,0,0,0,0,0,0,0,0
@user hoje comi meu primeiro cachorro. muito triste. ele era meu companheiro a 13 anos. mas até que estava gostoso. se alguém quiser a receita é só pedir,0,0,0,0,0,0,0,0,0,0,0,0,0
se vc usa corel nem fala comigo namoral,1,0,0,0,0,0,0,0,0,0,0,0,0
@user @user abri o teu. link link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user ele nem sabe que existo é nem lembra de mim,0,0,0,0,0,0,0,0,0,0,0,0,0
é assim mesmokkkkkkkkkkk link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user bolay,0,0,0,0,0,0,0,0,0,0,0,0,0
ser mulher custa muito caro ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user tá cada vez mais difícil,0,0,0,0,0,0,0,0,0,0,0,0,0
@user valor ?,0,0,0,0,0,0,0,0,0,0,0,0,0
@user horrível né,0,0,0,0,0,0,0,0,0,0,0,0,0
cachorro filho da puta,0,0,0,0,0,0,0,0,0,0,0,0,0
sempre no começo da semana eu fico super pensativa em tudooooo,0,0,0,0,0,0,0,0,0,0,0,0,0
braveza tardia e inútil jogando para plateia: bolsonaro afirma que vai processar o petista lula link,1,1,0,0,0,0,0,1,0,0,0,0,0
toda vez q a kelly vai embora eu falo “ tchau amiga kelly thainá” e ela fala “ tchau amiga renata ribeiro” já virou mania nossa de todo dia kkkkkkk,0,0,0,0,0,0,0,0,0,0,0,0,0
avassaladora link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user que ódio desse merdaaaaaaaaa,1,0,0,0,0,0,0,0,0,0,0,0,0
calada vence calada vence calada vence,0,0,0,0,0,0,0,0,0,0,0,0,0
@user mds ele não fez naaaaaaao ai que odio link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user ele é maluco,1,0,0,0,0,0,0,0,0,0,0,0,0
quero uma camisa com k-hot chilling peppers agora,0,0,0,0,0,0,0,0,0,0,0,0,0
@user cassação dallagnol,0,0,0,0,0,0,0,0,0,0,0,0,0
@user varela kkkkkkkk,0,0,0,0,0,0,0,0,0,0,0,0,0
virei a maior hater da iniciativa privada (principalmente na área de comunicação),0,0,0,0,0,0,0,0,0,0,0,0,0
"tuane se faz de doida, mas ela é minha, e só isso importa",1,0,0,0,0,0,0,0,0,0,0,0,0
@user como se isso valesse de alguma coisa,0,0,0,0,0,0,0,0,0,0,0,0,0
@user pq fui lá ontem e estava 33 reais ??,0,0,0,0,0,0,0,0,0,0,0,0,0
"verdade. bolsonaro também fez barderna e miséria.olhem onde chegou! ecampos neto criou uma baderna e leva brasileiros à miséria, diz ministro link",0,0,0,0,0,0,0,0,0,0,0,0,0
sinto tanta raiva que amar parece errado,0,0,0,0,0,0,0,0,0,0,0,0,0
@user amo essa,0,0,0,0,0,0,0,0,0,0,0,0,0
//munting paraiso,0,0,0,0,0,0,0,0,0,0,0,0,0
pq n da pra dormir por 5 dias seguidos e acordar com tudo resolvido?,0,0,0,0,0,0,0,0,0,0,0,0,0
@user absolutamente nada.,0,0,0,0,0,0,0,0,0,0,0,0,0
o pessoal querendo que eu faça reparação histórica de cada religião de matriz africana... pesquisa no google gostosão,1,1,0,0,0,0,0,0,0,1,0,0,0
@user q eu postei no jg,0,0,0,0,0,0,0,0,0,0,0,0,0
@user realmente,0,0,0,0,0,0,0,0,0,0,0,0,0
"""saiba quem se candidatou pra tal vaga"" tomanocu linkedin que tenho mais o que fazer",0,0,0,0,0,0,0,0,0,0,0,0,0
ódioooooooo link,0,0,0,0,0,0,0,0,0,0,0,0,0
"mto ódio,mto ódio mto ódioooo.??",0,0,0,0,0,0,0,0,0,0,0,0,0
eita link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user se eu n trouxesse almoço ia la c vc,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user é um blend do prtb do collor com o bolsonaro . ou seja , uma bomba de proporção inédita ....??????",0,0,0,0,0,0,0,0,0,0,0,0,0
cara o odio q eu to é inexplicável pprt,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user quem, mo?",0,0,0,0,0,0,0,0,0,0,0,0,0
"cara, outono é tão gostoso né! um solzinho com ventinho gelado! eu adoro !",0,0,0,0,0,0,0,0,0,0,0,0,0
n tenho paciência pra quem não sabe render uma conversa,0,0,0,0,0,0,0,0,0,0,0,0,0
@user parabéns,0,0,0,0,0,0,0,0,0,0,0,0,0
"precisa nem ser um gênio pra saber disso, vasco n constrói pelo meio nem se deixar o time todo aberto, esses fdp só sabem cruzar bola na área de qlqr jeito link",0,0,0,0,0,0,0,0,0,0,0,0,0
"@user que bomm! eu tbm, amor",0,0,0,0,0,0,0,0,0,0,0,0,0
@user o lula fazendo em 5 meses o q o bolsonaro n fez em 4 anos kkkkkkkkkk,1,1,0,0,0,0,0,1,0,0,0,0,0
"@user @user se amam a mãe são família, tudo tia ??",0,0,0,0,0,0,0,0,0,0,0,0,0
capaz,0,0,0,0,0,0,0,0,0,0,0,0,0
meu deus a hummel n faz mais os uniformes da dvv ??????????,0,0,0,0,0,0,0,0,0,0,0,0,0
a fila paro de novo naoooo,0,0,0,0,0,0,0,0,0,0,0,0,0
@user me manda seu instaaa,0,0,0,0,0,0,0,0,0,0,0,0,0
"eu vou fazer a cirurgia hojeee, amémm ????",0,0,0,0,0,0,0,0,0,0,0,0,0
carai maffiesi tá de volta msm??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user @user juro nika eu tô quietinha no meu canto sabe,0,0,0,0,0,0,0,0,0,0,0,0,0
nubank comeu meu dinheiro q ódio pqp,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user esperando me mandar o link oficial da fifa. kkkkkk ?? link link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user vcs são péssimas que ódio ahauahaha,0,0,0,0,0,0,0,0,0,0,0,0,0
@user amigaaaa que tudo,0,0,0,0,0,0,0,0,0,0,0,0,0
@user respondendo sua pergunta! o que deu errado foi bolsonaro!! simples!!,1,1,0,0,0,0,0,1,0,0,0,0,0
@user @user @user luis abinader,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user se fosse o bolsonaro fazendo estaria comemorando e gritando ""mito"". vai entender o gado... ?????",1,1,0,0,0,0,0,1,0,0,0,0,0
@user o que prova que esse tempo todo não conseguiram encontrar nenhum crime só narrativas e o bolsonaro é o melhor do brasil . ??,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user @user tirem a mão de mim!!! tirem a mão de mim. eu quero pagar mais caro no combustível para que a empresa distribua bilhões para bilionário...,1,1,0,0,0,0,0,1,0,0,0,0,0
"meu deus, perdeu a mão demais",0,0,0,0,0,0,0,0,0,0,0,0,0
@user ahhhh gente que amor ??????,0,0,0,0,0,0,0,0,0,0,0,0,0
eu não consigo expressar em palavras o ódio primordial que os sapatos verde do protagonista de dqxi me causa,0,0,0,0,0,0,0,0,0,0,0,0,0
"lisa gomes, repórter trans do tv fama, é constrangida pelo bruno, da dupla com marrone. é inadmissível a transfobia e o desrespeito, ainda mais vindo de uma pessoa q influencia outras pessoas através da música. link",0,0,0,0,0,0,0,0,0,0,0,0,0
@user obrigada ??,0,0,0,0,0,0,0,0,0,0,0,0,0
jeongin seu desgraçado vai se fuder link,1,0,0,0,0,0,0,0,0,0,0,0,0
@user @user você arrasou mona nesse videozinho aí ela tá muito gostosa ?????,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user cara erra tudo que tenta, não consegue driblar ninguém. todas as decisões são precipitadas, finaliza mal.... tem essas 6 assistências ai na temporada pq 4 foram batendo escanteio e uma falta no último jogo, se não nem isso teria",0,0,0,0,0,0,0,0,0,0,0,0,0
coisa super boba besta simples mas mesmo assim não gosto,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user que absurdo. eu exijo pagar mais caro. volta, bolsonaro.",1,1,0,0,0,0,0,1,0,0,0,0,0
vou chorar,0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user oii pq vc sumiu irmãozinho?,0,0,0,0,0,0,0,0,0,0,0,0,0
@user vai arrumar um emprego de verdade ????,0,0,0,0,0,0,0,0,0,0,0,0,0
corta link,0,0,0,0,0,0,0,0,0,0,0,0,0
@user e @user incríveis.,0,0,0,0,0,0,0,0,0,0,0,0,0
"oi deus, sou eu de novo link",0,0,0,0,0,0,0,0,0,0,0,0,0
"o quinteto está formado, prepara o 5g, pq a foto não vai carregar em??????",0,0,0,0,0,0,0,0,0,0,0,0,0
amamos muito link,0,0,0,0,0,0,0,0,0,0,0,0,0
justine é muito a vibe namorada da minha namorada kkkkkk eu amo link,0,0,0,0,0,0,0,0,0,0,0,0,0
sem clubismo ????? link,0,0,0,0,0,0,0,0,0,0,0,0,0
boa tarde amores tudo bem com você alguém tem notícias fe @user,0,0,0,0,0,0,0,0,0,0,0,0,0
"“eiiii estás com o lábio fdd, foste tu ou foi a …” já ouvi isto umas 20vezes ????????",0,0,0,0,0,0,0,0,0,0,0,0,0
nunca pensei que minhas verdadeiras amizades iriam me machucar..,0,0,0,0,0,0,0,0,0,0,0,0,0
ate queria ir mas sem lineup nao dah link,0,0,0,0,0,0,0,0,0,0,0,0,0
os storys da dona val me qbrou pç,0,0,0,0,0,0,0,0,0,0,0,0,0
@user eu sei e percebo todo o cenário mas no teu lugar eu aceitava,0,0,0,0,0,0,0,0,0,0,0,0,0
@user irmã eh no cuhuu msm que ódio,0,0,0,0,0,0,0,0,0,0,0,0,0
"??tove lo lançará sua nova música “i like you” nesta sexta-feira, 19 de maio. ansiosos? link",0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user pega 10 reais de gasolina vc. chega lá no frentista e fala: cobra no valor do meu presidente jumento o bolsonaro. aí vc vai ficar feliz.,1,1,0,0,0,0,0,1,0,0,0,0,0
paranoia,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user @user @user @user milei banca a menem, milei peronista",0,0,0,0,0,0,0,0,0,0,0,0,0
@user só cai nessa lábia quem não o conhece.,0,0,0,0,0,0,0,0,0,0,0,0,0
